ID,NAME,ADDRESS,CITY,STATE,ZIP,FIPS,CBSA 2015,CBSA 2017,CBSA 2018,RUCA Code,FORHP Rural/Urban 2018,SPECIAL PAYMENT,PHONE NUMBER,"CERTIFIED BEDS, POS","TOTAL BEDS, POS","BEDS, PSF","ACUTE BEDS, HCRIS"
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,01045,Micro,Micro,Micro,4.1,Rural,NONE,3347742601,89,89,75,77
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,01019,Neither,Neither,Neither,3.0,Rural,MDH,2569275531,60,60,40,45
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,01101,Metro,Metro,Metro,1.0,Urban,NONE,3342882100,454,454,312,329
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,01101,Metro,Metro,Metro,1.0,Urban,RRC,3342938000,344,344,262,270
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,01081,Metro,Metro,Metro,1.0,Urban,RRC,3347493411,429,429,378,372
010032,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,01111,Neither,Neither,Neither,3.0,Rural,NONE,2563572111,15,15,31,34
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,01073,Metro,Metro,Metro,1.0,Urban,NONE,2059344011,1157,1157,1058,1063
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,01051,Metro,Metro,Metro,7.1,Rural,NONE,3342836541,69,69,31,37
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,01043,Micro,Micro,Micro,4.0,Rural,SCH/RRC,2567372000,115,115,108,145
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,01039,Neither,Neither,Neither,7.0,Rural,NONE,3342228466,88,88,86,83
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,01015,Metro,Metro,Metro,1.0,Urban,NONE,2562358900,125,125,122,125
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,01089,Metro,Metro,Metro,1.0,Urban,NONE,2562651000,881,881,821,844
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,01055,Metro,Metro,Metro,1.0,Urban,NONE,2564944000,346,346,218,222
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,01093,Neither,Neither,Neither,7.0,Rural,MDH,2059216200,57,57,28,36
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,01057,Neither,Neither,Neither,7.0,Rural,MDH,2059325966,61,61,37,45
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,01055,Metro,Metro,Metro,1.0,Urban,NONE,2565435200,281,281,256,256
010047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,01013,Neither,Neither,Neither,10.0,Rural,MDH,3343762205,22,22,22,22
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,01031,Micro,Micro,Micro,4.0,Rural,NONE,3343470584,99,131,96,99
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,01063,Neither,Neither,Metro,2.0,Urban,NONE,2053723388,20,20,20,20
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,01123,Micro,Micro,Micro,3.0,Rural,MDH,2568257821,46,46,45,46
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,01069,Metro,Metro,Metro,1.0,Urban,RRC,3347935000,235,235,224,235
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,01073,Metro,Metro,Metro,1.0,Urban,NONE,2059397000,409,409,370,409
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,01007,Metro,Metro,Metro,2.0,Urban,NONE,2059264881,35,35,21,25
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,01079,Metro,Metro,Metro,7.1,Rural,NONE,2569742200,98,98,38,43
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,01071,Micro,Micro,Micro,4.0,Rural,SCH,2562594444,170,170,165,168
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,01061,Metro,Metro,Metro,2.0,Urban,NONE,3346843655,83,83,71,73
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,01123,Micro,Micro,Micro,7.0,Rural,RRC,2563297100,81,81,71,34
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,01005,Micro,Micro,Micro,7.0,Rural,SCH,3346887271,74,74,24,30
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,01027,Neither,Neither,Neither,2.0,Rural,MDH,2563542131,53,53,43,46
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,01015,Metro,Metro,Metro,1.0,Urban,RRC,2562355121,323,323,248,250
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,01083,Metro,Metro,Metro,4.0,Rural,NONE,2562339292,71,71,71,70
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,01003,Metro,Metro,Metro,4.0,Rural,RRC,2519493400,112,112,105,112
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,01103,Metro,Metro,Metro,1.0,Urban,NONE,2563412000,457,457,190,178
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,01093,Neither,Neither,Neither,10.0,Rural,MDH,2054877736,71,71,57,61
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,01097,Metro,Metro,Metro,1.0,Urban,NONE,2514717110,406,406,141,149
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,01127,Metro,Metro,Micro,2.0,Rural,SCH,2053874000,267,267,224,207
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,01097,Metro,Metro,Metro,1.0,Urban,NONE,2516331000,349,349,337,349
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,01025,Neither,Neither,Neither,10.1,Rural,NONE,2512753191,50,50,22,21
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,01125,Metro,Metro,Metro,1.0,Urban,SCH/RRC,2057597111,787,787,486,497
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,01065,Metro,Metro,Metro,2.0,Urban,NONE,3346243024,39,39,24,28
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,01051,Metro,Metro,Metro,2.0,Urban,NONE,3345674311,69,69,32,33
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,01053,Micro,Micro,Micro,7.0,Rural,NONE,2518678061,65,65,46,46
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,01003,Metro,Metro,Metro,1.1,Urban,RRC,2519282375,162,162,123,129
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,01121,Micro,Micro,Micro,4.0,Rural,RRC,2567614542,122,122,85,85
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,01131,Neither,Neither,Neither,10.0,Rural,SCH,3346824131,30,30,20,21
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,01073,Metro,Metro,Metro,1.0,Urban,NONE,2057833800,505,505,274,279
010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,01073,Metro,Metro,Metro,1.0,Urban,NONE,2059711000,402,402,343,352
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,01001,Metro,Metro,Metro,1.0,Urban,NONE,3343614267,85,85,43,50
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,01107,Metro,Metro,Metro,2.0,Urban,SCH,2053678111,56,56,38,40
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,01011,Neither,Neither,Neither,2.0,Rural,SCH,3347382140,61,61,29,30
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,01091,Neither,Neither,Neither,7.0,Rural,SCH,3342894000,99,99,86,37
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,01097,Metro,Metro,Metro,1.0,Urban,NONE,2514354700,669,669,605,611
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,01073,Metro,Metro,Metro,1.0,Urban,NONE,2054817000,310,310,187,187
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,01047,Micro,Micro,Micro,4.0,Rural,SCH/RRC,3344184100,214,214,160,163
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,01099,Neither,Neither,Neither,7.0,Rural,SCH,2515753111,94,94,48,49
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,01133,Neither,Neither,Neither,10.0,Rural,MDH,2054857117,49,49,47,49
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,01109,Micro,Micro,Micro,4.0,Rural,NONE,3346705000,97,97,91,97
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,01025,Neither,Neither,Neither,2.0,Rural,NONE,2512469021,35,35,32,35
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,01003,Metro,Metro,Metro,7.0,Rural,NONE,2519375521,78,78,53,55
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,01115,Metro,Metro,Metro,4.0,Rural,NONE,2053383301,40,40,33,40
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,01089,Metro,Metro,Metro,1.0,Urban,NONE,2568823100,147,147,170,183
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,01119,Neither,Neither,Neither,6.0,Rural,NONE,2053925263,33,33,33,33
010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,01073,Metro,Metro,Metro,1.0,Urban,NONE,2058771000,595,595,429,425
010144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,01097,Metro,Metro,Metro,1.0,Urban,NONE,2513449630,263,263,187,198
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,01035,Neither,Neither,Neither,7.0,Rural,MDH,2515782480,44,44,42,44
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,01101,Metro,Metro,Metro,1.0,Urban,NONE,3342448330,150,150,158,176
010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,GREENVILLE,AL,36037,01013,Neither,Neither,Neither,10.3,Rural,MDH,3343822200,72,72,42,33
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,01033,Metro,Metro,Metro,1.0,Urban,NONE,2563861601,198,198,120,122
010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,01059,Neither,Neither,Neither,2.0,Rural,MDH,2563321611,100,100,89,49
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,01121,Micro,Micro,Micro,4.0,Rural,NONE,2562495000,168,168,117,122
010167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM,AL,35205,01073,Metro,Metro,Metro,1.0,Urban,NONE,2059307000,219,219,62,.
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,01113,Metro,Metro,Metro,1.0,Urban,NONE,3347323000,70,70,47,47
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,01053,Micro,Micro,Micro,7.0,Rural,NONE,2513682500,49,49,47,49
010173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,01021,Metro,Metro,Metro,7.0,Rural,NONE,2052584400,30,30,21,26
011300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,01129,Neither,Neither,Metro,3.0,Urban,CAH,2518472223,25,25,.,15
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,01059,Neither,Neither,Neither,10.0,Rural,CAH,2563569532,25,25,.,25
011304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,01023,Neither,Neither,Neither,10.0,Rural,CAH,2054599100,25,25,.,25
011305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,01009,Metro,Metro,Metro,7.1,Rural,CAH,2052743000,25,25,.,25
020001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,02020,Metro,Metro,Metro,1.0,Urban,NONE,9075622211,401,401,413,391
020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,02170,Metro,Metro,Metro,4.1,Rural,SCH,9078616000,74,74,67,74
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,02110,Micro,Micro,Micro,4.0,Rural,SCH,9077968900,57,57,43,45
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,02090,Metro,Metro,Metro,1.0,Urban,SCH/RRC,9074528181,162,162,121,122
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,02020,Metro,Metro,Metro,1.0,Urban,NONE,9072761131,250,250,169,164
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,02050,Neither,Neither,Neither,7.0,Rural,IHS,9075436300,50,50,37,34
020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,02122,Neither,Neither,Neither,7.0,Rural,SCH,9072624404,49,49,43,49
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,02020,Metro,Metro,Metro,1.0,Urban,IHS,9077293971,167,167,167,174
021301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,02261,Neither,Neither,Neither,10.0,Rural,CAH,9078352249,15,15,.,11
021302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,02122,Neither,Neither,Neither,10.0,Rural,CAH,9072245205,6,6,.,6
021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,02220,Neither,Neither,Neither,7.0,Rural,CAH,9077473241,12,24,.,12
021304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,AK,99833,02280,Neither,Neither,Neither,10.0,Rural,CAH,9077724291,12,12,.,12
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,310 BENNETT STREET PO BOX 1081,WRANGELL,AK,99929,02275,Neither,Neither,Neither,10.0,Rural,CAH,9078747000,8,8,.,8
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,02150,Neither,Neither,Neither,7.0,Rural,CAH,9074869592,25,25,.,24
021307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,02261,Neither,Neither,Neither,10.0,Rural,CAH,9074248000,13,13,.,13
021308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,02180,Neither,Neither,Neither,7.0,Rural,CAH,9074433311,21,21,.,18
021309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,02070,Neither,Neither,Neither,10.0,Rural,CAH,9078425201,15,15,.,18
021310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,02188,Neither,Neither,Neither,7.0,Rural,CAH,9074423321,17,17,.,17
021311,KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,02130,Micro,Micro,Micro,4.0,Rural,CAH,9072255171,25,25,.,25
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,02185,Neither,Neither,Neither,7.0,Rural,CAH,9078524611,14,14,.,20
021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,02122,Neither,Neither,Neither,10.0,Rural,CAH,9072358101,22,22,.,21
021314,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,02220,Neither,Neither,Neither,7.0,Rural,CAH,9079662411,25,25,.,25
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,04013,Metro,Metro,Metro,1.0,Urban,RRC,6022392000,766,766,572,622
030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,04019,Metro,Metro,Metro,1.0,Urban,RRC,5203275461,596,596,425,441
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,04025,Metro,Metro,Metro,4.0,Rural,SCH,9287732357,98,98,89,92
030010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,04019,Metro,Metro,Metro,1.0,Urban,RRC,5208723000,400,400,330,349
030011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,04019,Metro,Metro,Metro,1.0,Urban,RRC,5208733000,486,486,439,451
030012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,04025,Metro,Metro,Metro,1.0,Urban,SCH/RRC,9284452700,206,206,196,206
030013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,04027,Metro,Metro,Metro,1.0,Urban,SCH/RRC,9283367600,369,369,359,406
030014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,04013,Metro,Metro,Metro,1.0,Urban,RRC,6023315862,262,262,182,262
030016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122,04021,Metro,Metro,Metro,1.0,Urban,NONE,5203816300,141,141,126,141
030022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,04013,Metro,Metro,Metro,1.0,Urban,RRC,6023445011,758,758,296,323
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,04005,Metro,Metro,Metro,1.0,Urban,SCH/RRC,9287793366,264,264,193,245
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,04013,Metro,Metro,Metro,1.0,Urban,RRC,6024065001,586,586,512,460
030030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,04013,Metro,Metro,Metro,1.0,Urban,NONE,6022490212,206,206,121,144
030036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,04013,Metro,Metro,Metro,1.0,Urban,RRC,4807283000,338,338,297,338
030037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,04013,Metro,Metro,Metro,1.0,Urban,NONE,6022518156,219,219,184,185
030038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,04013,Metro,Metro,Metro,1.0,Urban,RRC,4808824004,341,341,375,327
030043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,04003,Metro,Metro,Metro,1.0,Urban,SCH,5202633001,100,100,74,88
030055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,04015,Metro,Metro,Metro,4.0,Rural,SCH/RRC,9287572101,235,235,212,196
030061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,04013,Metro,Metro,Metro,1.0,Urban,NONE,6238324000,434,434,379,140
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,04017,Micro,Micro,Micro,4.0,Rural,SCH,9285376399,101,101,85,89
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,04019,Metro,Metro,Metro,1.0,Urban,RRC,5208744189,625,625,459,479
030065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,04013,Metro,Metro,Metro,1.0,Urban,NONE,4804123000,595,595,549,615
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,04009,Micro,Micro,Micro,4.0,Rural,SCH,9283484000,49,49,44,49
030069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,04015,Metro,Metro,Metro,1.0,Urban,SCH/RRC,9288558185,152,152,142,144
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,04001,Neither,Neither,Neither,5.0,Rural,IHS,9287298000,70,70,56,56
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,04005,Metro,Metro,Metro,7.0,Rural,IHS,9282832501,103,103,72,73
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,04019,Metro,Metro,Metro,10.0,Rural,IHS,5203627003,32,32,14,14
030077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,04007,Micro,Micro,Micro,5.0,Rural,IHS,9284751200,36,36,8,8
030078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,04013,Metro,Metro,Metro,1.0,Urban,IHS,6022631200,179,179,133,133
030083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,04013,Metro,Metro,Metro,1.0,Urban,NONE,6029235000,136,136,128,127
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,04001,Neither,Neither,Neither,10.0,Rural,IHS,9286747001,10,10,60,60
030085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,04019,Metro,Metro,Metro,1.0,Urban,RRC,5204698100,300,300,262,281
030087,SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,04013,Metro,Metro,Metro,1.0,Urban,RRC,4803233000,425,425,393,427
030088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,04013,Metro,Metro,Metro,1.0,Urban,NONE,4803212000,359,359,292,318
030089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,04013,Metro,Metro,Metro,1.0,Urban,NONE,6028654470,561,561,441,499
